2025-10-14 01:14:01 | INFO     | GameLauncher | === Starting Game Launcher ===
2025-10-14 12:50:09 | INFO     | GameLauncher | Main window created successfully
2025-10-14 12:50:13 | INFO     | GameLauncher | Home view data refreshed
2025-10-14 12:50:13 | INFO     | GameLauncher | Switched to view: home
2025-10-14 12:50:27 | INFO     | GameLauncher | Loaded 0 games
2025-10-14 12:50:27 | INFO     | GameLauncher | Switched to view: library
2025-10-14 12:50:28 | INFO     | GameLauncher | Roadmap refreshed: 0 items
2025-10-14 12:50:28 | INFO     | GameLauncher | Switched to view: roadmap
2025-10-14 12:50:32 | INFO     | GameLauncher | Achievements refreshed: 0 total
2025-10-14 12:50:32 | INFO     | GameLauncher | Switched to view: achievements
2025-10-14 12:50:34 | INFO     | GameLauncher | Fetching news from RSS feeds...
2025-10-14 12:50:34 | INFO     | GameLauncher | RSS auto-refresh started
2025-10-14 12:50:34 | INFO     | GameLauncher | Fetching news from RSS feeds...
2025-10-14 12:50:34 | INFO     | GameLauncher | Fetched 0 news from https://www.ign.com/feed.xml
2025-10-14 12:50:34 | INFO     | GameLauncher | Total news fetched: 0
2025-10-14 12:50:34 | INFO     | GameLauncher | Fetched 0 news from https://www.ign.com/feed.xml
2025-10-14 12:50:34 | INFO     | GameLauncher | Total news fetched: 0
2025-10-14 12:50:34 | INFO     | GameLauncher | Fetching news from RSS feeds...
2025-10-14 12:50:35 | INFO     | GameLauncher | Fetched 0 news from https://www.ign.com/feed.xml
2025-10-14 12:50:35 | INFO     | GameLauncher | Total news fetched: 0
2025-10-14 12:50:35 | INFO     | GameLauncher | News refreshed: 0 items
2025-10-14 12:50:35 | INFO     | GameLauncher | Switched to view: news
2025-10-14 12:50:38 | INFO     | GameLauncher | RSS auto-refresh stopped
2025-10-14 12:50:38 | INFO     | GameLauncher | Stats refreshed for period: week
2025-10-14 12:50:38 | INFO     | GameLauncher | Switched to view: stats
2025-10-14 12:50:39 | INFO     | GameLauncher | Music player initialized
2025-10-14 12:50:39 | ERROR    | GameLauncher | Failed to load view music: video system not initialized
2025-10-14 12:50:42 | INFO     | GameLauncher | Music player initialized
2025-10-14 12:50:42 | ERROR    | GameLauncher | Failed to load view music: video system not initialized
2025-10-14 12:50:46 | INFO     | GameLauncher | Switched to view: chat
2025-10-14 12:50:51 | INFO     | GameLauncher | Chat server started on port 5000
2025-10-14 12:50:55 | INFO     | GameLauncher | Chat server started from UI
2025-10-14 12:50:57 | INFO     | GameLauncher | Client connected to chat
2025-10-14 12:51:08 | INFO     | GameLauncher | Chat message from Gracz: Cześć
2025-10-14 12:51:16 | INFO     | GameLauncher | Chat server stopped
2025-10-14 12:51:17 | INFO     | GameLauncher | Chat server stopped from UI
2025-10-14 12:51:19 | INFO     | GameLauncher | Client disconnected from chat
2025-10-14 12:51:25 | INFO     | GameLauncher | Settings loaded
2025-10-14 12:51:25 | INFO     | GameLauncher | Switched to view: settings
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:41 | INFO     | GameLauncher | Configuration saved successfully
2025-10-14 12:51:42 | INFO     | GameLauncher | Settings saved successfully
2025-10-14 12:51:43 | INFO     | GameLauncher | Home view data refreshed
2025-10-14 12:51:43 | INFO     | GameLauncher | Switched to view: home
2025-10-14 12:52:06 | INFO     | GameLauncher | Switched to view: chat
2025-10-14 12:52:08 | INFO     | GameLauncher | Home view data refreshed
2025-10-14 12:52:08 | INFO     | GameLauncher | Switched to view: home
